UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
3GE075,CF6-50E,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,28.44,230.4,-,5.3 ,27.0 ,788 ,36.6 ,11884 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
3GE076,CF6-50E1,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,28.44,230.4,-,5.3 ,27.0 ,788 ,36.6 ,11884 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
1GE009,CF6-50E2,,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,12-Oct-79,5-Dec-79,TF,4.3,29.8,230.4,-,37.3 ,190.1 ,7715 ,99.0 ,14247 ,4.8,Jet A,1.92,98.3-100.4,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
3GE077,CF6-50E2,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,28.44,230.4,-,5.3 ,27.0 ,788 ,36.6 ,11884 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
3GE079,CF6-50E2B,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,29.06,236.7,-,5.1 ,26.0 ,786 ,35.4 ,12482 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
1GE001,CF6-6D,,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,16-Aug-79,19-Nov-79,TF,5.9,24.7,174.8,-,36.7 ,187.4 ,5821 ,93.3 ,11611 ,4.3,Jet A,1.93,99.15-100.46,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
1GE002,CF6-6D1A,,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,16-Aug-79,19-Nov-79,TF,5.9,25.4,181.9,-,34.1 ,173.9 ,5617 ,87.1 ,12549 ,-,Jet A,1.93,99.15-100.46,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
1GE003,CF6-6K,,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,16-Aug-79,19-Nov-79,TF,5.9,24.7,174.8,-,36.7 ,187.4 ,5821 ,93.3 ,11611 ,4.3,Jet A,1.93,99.15-100.46,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
1GE004,CF6-6K2,,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,16-Aug-79,19-Nov-79,TF,5.9,25.4,181.9,-,34.1 ,173.9 ,5617 ,87.1 ,12549 ,-,Jet A,1.93,99.15-100.46,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
1GE010,CF6-80A,,GE Aircraft Engines,Production Engine Test,Production Test Cells M35,11-Nov-83,12-Nov-83,TF,5,29.0 ,208.8,-,12.1 ,61.7 ,1636 ,43.6 ,11066 ,15.6,Jet A,1.93,99.08-99.78,"1. Ref GE Report no R83AEB635.  2. Engine S/N 580214.  3. Smoke from Engine S/N 580005, report R81AEG513.  4. With approval of US FAA, idle power data were only acquired at the engine design setting of 3.69%. "
1GE011,CF6-80A1,,GE Aircraft Engines,Production Engine Test,Production Test Cells M35,11-Nov-83,12-Nov-83,TF,5,29.0 ,209.0 ,-,12.1 ,61.7 ,1636 ,43.6 ,11066 ,15.6,Jet A,1.93,99.08-99.78,"1. Ref GE Report no R83AEB635.  2. Engine S/N 580214.  3. Smoke from Engine S/N 580005, report R81AEG513.  4. With approval of US FAA, idle power data were only acquired at the engine design setting of 3.69%. "
1GE012,CF6-80A2,,GE Aircraft Engines,Production Engine Test,Production Test Cells M35,11-Nov-83,12-Nov-83,TF,5,30.1 ,216.5 ,-,11.7 ,59.7 ,1659 ,42.0 ,11878 ,15.6,Jet A,1.93,99.08-99.78,"1. Ref GE Report no R83AEB635.  2. Engine S/N 580214.  3. Smoke from Engine S/N 580005, report R81AEG513.  4. With approval of US FAA, idle power data were only acquired at the engine design setting of 3.69%. "
1GE013,CF6-80A3,,GE Aircraft Engines,Production Engine Test,Production Test Cells M35,11-Nov-83,12-Nov-83,TF,5,30.1,217.8,-,11.6 ,59.2 ,1659 ,41.7 ,11878 ,15.6,Jet A,1.93,99.08-99.78,"1. Ref GE Report no R83AEB635.  2. Engine S/N 580214.  3. Smoke from Engine S/N 580005, report R81AEG513.  4. With approval of US FAA, idle power data were only acquired at the engine design setting of 3.69%. "
1GE014,CF6-80C2A1,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,30.96,257.4,-,14.7 ,75.2 ,2915 ,60.4 ,12382 ,9.6,Jet A,1.94,97.40-97.82,1. Ref GE Report R84AEB152.  2. Engine S/N's 690105 and 690005/2.
2GE036,CF6-80C2A1,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,30.53,257.40,-,2.7 ,13.7 ,536 ,28.9 ,11514 ,8.2,Jet A,1.94,97.61-98.15,1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor
1GE015,CF6-80C2A2,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,28,233.35,1GE016,18.0 ,92.0 ,3239 ,70.1 ,9729 ,7.6,Jet A,1.94,97.40-97.82,1. Ref GE Report R85AEB486.  2. Engine S/N's 690105 and 690005/2.
1GE016,CF6-80C2A2,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,28.0 ,233.35,-,17.6 ,89.6 ,3152 ,69.1 ,9728 ,7.6,Jet A,1.94,97.40-97.82,1. Ref GE Report R85AEB486.  2. Engine S/N's 690105 and 690005/2.
2GE037,CF6-80C2A2,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,27.79,233.35,-,3.4 ,17.1 ,602 ,34.0 ,9339 ,6.8,Jet A,1.94,97.61-98.15,1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor
1GE017,CF6-80C2A3,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,31.64,262.22,1GE018,14.7 ,75.0 ,2970 ,60.0 ,13090 ,9.1,Jet A,1.94,97.40-97.82,1. Ref GE Report R86AEB143.  2. Engine S/N's 690105 and 690005/2.
1GE018,CF6-80C2A3,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,31.64,262.22,-,14.2 ,72.6 ,2874 ,59.0 ,13074 ,9.1,Jet A,1.94,97.40-97.82,1. Ref GE Report R86AEB143.  2. Engine S/N's 690105 and 690005/2.
2GE038,CF6-80C2A3,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,31.09,262.22,-,2.6 ,13.2 ,523 ,28.0 ,12074 ,8.1,Jet A,1.94,97.61-98.15,1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor
1GE019,CF6-80C2A5,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,31.58,267.3,1GE020,14.5 ,73.8 ,2966 ,59.6 ,12353 ,9.1,Jet A,1.94,97.40-97.82,1. Ref GE Report R84AEB152.  2. Engine S/N's 690105 and 690005/2.
1GE020,CF6-80C2A5,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,31.58,267.3,-,14.5 ,73.8 ,2966 ,59.6 ,12735 ,9.1,Jet A,1.94,97.40-97.82,1. Ref GE Report R84AEB152.  2. Engine S/N's 690105 and 690005/2.
2GE039,CF6-80C2A5,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,31.66,267.34,-,2.5 ,12.6 ,509 ,27.1 ,12640 ,8.1,Jet A,1.94,97.61-98.15,1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor
3GE056,CF6-80C2A5F,1862M39,GE,CF6 Ecval Engineering,"Site IIIB, PTO, Peebles, Ohio, USA",13-Jan-95,17-Jan-95,TF,5.1,32.88,271.88,-,2.1 ,10.7 ,440 ,25.8 ,12796 ,8.7,Jet A,1.94,97.61-98.15,1.  GE Report TM95-17.  2.  Engine S/N 704/223 & 704/234  3.  1862M39 combustor
1GE021,CF6-80C2A8,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,31.0 ,257.4,-,15.1 ,77.0 ,3005 ,62.0 ,11797 ,9.6,Jet A,1.94,97.40-97.82,1. Ref GE Report R90AEB379. Engine S/N's 690105 and 690005/2.
2GE040,CF6-80C2A8,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,30.45,257.37,-,2.7 ,13.8 ,536 ,28.9 ,11491 ,8.2,Jet A,1.94,97.61-98.15,1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor
1GE022,CF6-80C2B1,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,30.08,249.0 ,-,15.5 ,78.9 ,2953 ,63.1 ,10400 ,8.3,Jet A,1.94,97.40-97.82,"1. Ref GE Report R84AEB152, Addendum 1 (Dec 1986).  2. Engine S/N's 690105 and 690005/2."
2GE041,CF6-80C2B1,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,29.53,249.01,-,2.9 ,14.9 ,561 ,30.6 ,10719 ,7.9,Jet A,1.94,97.61-98.15,1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor
1GE023,CF6-80C2B1F,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,30.13,254.3 ,1GE024,16.2 ,82.5 ,3157 ,65.0 ,10718 ,8.3,Jet A,1.94,97.40-97.82,1. Ref GE Report R84AEB152.  2. Engine S/N's 690105 and 690005/2.
1GE024,CF6-80C2B1F,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,30.13,254.3,-,16.0 ,81.7 ,3127 ,63.9 ,10528 ,8.3,Jet A,1.94,97.40-97.82,1. Ref GE Report R87AEB208 Rev A. (Jan 88).  2. Engine S/N's 690105 and 690005/2.
2GE045,CF6-80C2B1F,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,30.13,254.26,-,2.6 ,13.3 ,513 ,28.2 ,11113 ,8.1,Jet A,1.94,97.61-98.15,"1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
1GE025,CF6-80C2B2,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,27.74,231.1 ,-,19.2 ,97.9 ,3407 ,73.7 ,8796 ,6.8,Jet A,1.94,97.40-97.82,1. Ref GE Report R86AEB589.  2. Engine S/N's 690105 and 690005/2.
2GE042,CF6-80C2B2,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,27.53,231.08,-,3.5 ,17.7 ,617 ,34.7 ,9169 ,6.6,Jet A,1.94,97.61-98.15,"1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
1GE026,CF6-80C2B2F,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,27.52,231.35,-,19.5 ,99.5 ,3467 ,73.5 ,8361 ,6.7,Jet A,1.94,97.40-97.82,1. Ref GE Report R88AEB277.  2. Engine S/N's 690105 and 690005/2.
2GE046,CF6-80C2B2F,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,27.6,231.35,-,3.2 ,16.5 ,579 ,33.0 ,9192 ,6.7,Jet A,1.94,97.61-98.15,"1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
1GE027,CF6-80C2B4,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,30.36,254.35 ,-,15.8 ,80.7 ,3088 ,63.6 ,11211 ,8.4,Jet A,1.94,97.40-97.82,1. Ref GE Reports R84AEB152 and R86AEB144 (Rev Aug 86).  2. Engine S/N's 690105 and 690005/2.
2GE043,CF6-80C2B4,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,30.14,254.35,-,2.7 ,13.9 ,535 ,29.3 ,11226 ,8.1,Jet A,1.94,97.61-98.15,"1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
1GE028,CF6-80C2B4F,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,30.17,254.79,-,16.2 ,82.8 ,3176 ,63.7 ,10635 ,8.6,Jet A,1.94,97.40-97.82,1. Ref GE Report R88AEB277.  2. Engine S/N's 690105 and 690005/2.
2GE047,CF6-80C2B4F,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,30.22,254.79,-,2.6 ,13.3 ,513 ,28.2 ,11137 ,8.1,Jet A,1.94,97.61-98.15,"1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
3GE057,CF6-80C2B5F,1862M39,GE,CF6 Ecval Engineering,"Site IIIB, PTO, Peebles, Ohio, USA",13-Jan-95,17-Jan-95,TF,5.1,32.82,272.53,-,2.2 ,11.2 ,459 ,24.8 ,13142 ,8.7,Jet A,1.94,97.61-98.15,"1. GE Report TM95-17.  2. Engine S/N 704/223 & 704/234  3. 1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
1GE029,CF6-80C2B6,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,31.56,267.2 ,-,14.5 ,73.8 ,2966 ,59.7 ,12362 ,9.1,Jet A,1.94,97.40-97.82,1. Ref GE Report R86AEB160.  2. Engine S/N's 690105 and 690005/2.
2GE044,CF6-80C2B6,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,31.66,267.20,-,2.5 ,12.6 ,509 ,27.1 ,12640 ,8.1,Jet A,1.94,97.61-98.15,"1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
1GE030,CF6-80C2B6F,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,31.79,267.03,-,14.8 ,75.7 ,3041 ,59.5 ,12134 ,9.6,Jet A,1.94,97.40-97.82,1. Ref GE Report R88AEB277.  2. Engine S/N's 690105 and 690005/2.
2GE048,CF6-80C2B6F,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,31.72,267.03,-,2.4 ,12.1 ,490 ,26.3 ,12420 ,8.1,Jet A,1.94,97.61-98.15,"1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
2GE054,CF6-80C2B7F,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,31.79,267.03,-,14.8 ,75.5 ,3041 ,59.5 ,12134 ,9.6,Jet A,1.94,97.40-97.82,1. Ref GE Report R88AEB277 and GE Report R93AE351.  2. Engine S/N's 690105 and 690005/2.
2GE055,CF6-80C2B7F,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,31.72,267.03,-,2.4 ,12.1 ,490 ,26.3 ,12420 ,8.1,Jet A,1.94,97.61-98.15,"1.  Ref GE report TM95-17 and GE Report R93AE351.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE101,CF6-80C2B8F,1862M39,GE,CF6 Eval Engineering,PTO Site 3B Peebles,13-Jan-96,16-Mar-96,TF,5.1,31.37,267,-,1.72,8.8,394,22.71,12213,6.42,Jet A,1.94,97-98,"1. Ref GE Report R98AEB212  2.  Engine S/N 704234, 704233 and 704378  3. 1862M39 Combustor  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
3GE058,CF6-80C2B8FA,1862M39,GE,CF6 Ecval Engineering,"Site IIIB, PTO, Peebles, Ohio, USA",13-Jan-95,17-Jan-95,TF,5.1,31.71,267.02,-,2.4 ,12.2 ,489 ,26.4 ,12400 ,8.4,Jet A,1.94,97.61-98.15,1. GE Report TM95-17.  2. Engine S/N 704/223 & 704/234  3. 1862M39 combustor
1GE031,CF6-80C2D1F,,GE Aircraft Engines,CF6 Evaluation Engineering,"Site IIIC, PTO, Peebles, Ohio",29-May-85,3-Jun-85,TF,5.1,32.86,269.96,-,13.6 ,69.4 ,2822 ,56.1 ,12714 ,9.6,Jet A,1.94,97.40-97.82,1. Ref GE Report R88AEB266  Rev A  (Jan 91).  2. Engine S/N's 690105 and 690005/2.
2GE049,CF6-80C2D1F,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,32.05,269.96,-,2.3 ,11.7 ,478 ,25.7 ,12724 ,8.2,Jet A,1.94,97.61-98.15,1. Ref GE report TM95-17.  2. Engine S/N 704/233 & 704/234  3. 1862M39 combustor
1GE032,CF6-80E1A1,,GE Aircraft Engines,CF6 Evaluation Engineering,"Sites IIIC & IIID, Peebles Test Facility",8-Jun-92,4-Aug-92,TF,5.1,32.44,281.5,-,15.7 ,80.1 ,3463 ,61.9 ,15429 ,11.4,Jet A,1.89,97.66-97.99,1. Ref GE Report R90AEB188.  2. Engine S/N's 810-101/1 and 810-104/1.
2GE050,CF6-80E1A1,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,32.46,281.53,-,2.3 ,11.7 ,494 ,26.6 ,13232 ,8.1,Jet A,1.94,97.61-98.15,1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor
1GE033,CF6-80E1A2,,GE Aircraft Engines,CF6 Evaluation Engineering,"Sites IIIC & IIID, Peebles Test Facility",8-Jun-92,4-Aug-92,TF,5.1,33.08,287.0 ,-,15.3 ,78.2 ,3384 ,61.9 ,16203 ,11.6,Jet A,1.89,97.66-97.99,"1. Ref GE Report R90AEB188.  2. Engine S/N's 810-101/1 and 810-104/1.  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
2GE051,CF6-80E1A2,1862M39,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,33.1,287.04,-,2.2 ,11.2 ,480 ,25.9 ,13796 ,8.0,Jet A,1.94,97.61-98.15,1.  Ref GE report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  1862M39 combustor
5GE085,CF6-80E1A3,Standard,GE,CF6 Eval Engineering,"Site IIIB, PTO Peebles",13-Jan-95,17-Jan-95,TF,5.1,35.7,304.8,-,12.6 ,64.3 ,3438 ,46.7 ,19254 ,10.8,Jet A,1.94,97.61 - 98.15,"1. Ref. GE Reports R84AEB152, R90AEB188, R95AEB272-2  2. Standard combustor  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
4GE080,CF6-80E1A4,Standard,GE,CF6 Evaluation Engineering,"Site IIIB, PTO, Ohio",13-Jan-95,17-Jan-95,TF,5.1,34.5,297.44,-,16.3 ,83.1 ,3726 ,53.1 ,18055 ,11.8,Jet A,1.94,97.61-98.15,"1.  GE Report TM95-17.  2.  Engine S/N 704/233 & 704/234  3.  Standard combustor  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
4GE081,CF6-80E1A4,Low emissions  ,GE,CF6 Evaluation Engineering,"Site IIIB, PTO, Ohio",13-Jan-96,16-Mar-96,TF,5.1,34.5,297.44,-,1.4 ,7.1 ,359 ,20.3 ,15027 ,6.5,Jet A,1.94,97.61-98.15,"1.  Ref GE Report TM95-17 & GEAE R95AEB272-2.  2.  Engine S/N 704/233, 704/234 & 704/378  3.  Low emissions combustor"
7GE097,GE90-110B1,DAC,GE Transportation,Peebles Test Operation,Site 4D,23-Nov-03,23-Nov-03,TF,7.34,39.73,492.6,-,8.4 ,42.7 ,2679 ,60.3 ,30616 ,4.6,Jet A1,1.94-1.96,97.058-97.865,"1. Smoke numbers corrected for fuel aromatics volume.  2. GE Report R2003AE462  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
7GE098,GE90-113B,DAC,GE Transportation,Peebles Test Operation,Site 4D,23-Nov-03,23-Nov-03,TF,7.17,41.21,504.9,-,8.0 ,40.6 ,2608 ,58.4 ,33006 ,5.0,Jet A1,1.94-1.96,97.058-97.865,"1. Smoke numbers corrected for fuel aromatics volume.  2. GE Report R2003AE462  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
7GE099,GE90-115B,DAC,GE Transportation,Peebles Test Operation,Site 4D,23-Nov-03,23-Nov-03,TF,7.08,42.24,513.9,-,7.7 ,39.1 ,2559 ,57.0 ,34888 ,5.3,Jet A,1.94-1.96,97.058-97.865,"1. Smoke numbers corrected for fuel aromatics volume.  2. GE Report R2003AE462  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
2GE052,GE90-76B,DAC I,GE,GE90 Eval Engineering,"Site IVD and 6, PTO, Peebles",24-Feb-95,28-Jul-95,TF,8.50,35.3,360.62,-,5.6 ,28.5 ,1753 ,59.1 ,21342 ,11.2,Jet A,1.91-1.92,97.38-98.59,"1. Ref GE Report TM95-45.  2. Engine S/N 900-108, 900-111 & 900-114.  3. Post certification/ as delivered to service.  4. Smoke <3 below meas. capability.  5. DAC I combustor"
3GE062,GE90-76B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, Ohio, USA",24-Apr-97,19-Jun-97,TF,8.6,35.1,360.62,-,0.9 ,4.6 ,279 ,21.1 ,19680 ,0.6,Jet A,1.91-1.94,97.52-98.62,"1.  GE Report R96AEB292.  2.  Engine S/S 900-173, 900-166 & 900-167  3.  DAC II combustor"
5GE086,GE90-76B,,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, Ohio, USA",9-Jan-00,12-Jan-00,TF,8.53,34.88,360.6,6GE087,1.1 ,5.4 ,241 ,23.4 ,19393 ,3.7,Jet A,1.92,97.3 - 98.2,1. GE Report R97AEB298  2. Engine S/N 900326
6GE087,GE90-76B,DAC II,GE,GE90 Eval Engineering,"Site IIID, PTO, Peebles, OH",9-Jan-00,12-Jan-00,TF,8.53,34.88,360.6,-,1.1 ,5.4 ,241 ,23.4 ,19394 ,3.7,Jet A,1.92,97.3 - 98.2,"1. Ref. GE Report R97AEB298,  2. Engine S/N 900326  3. Turbomachinery incorporating 3D aero  4. Characteristic Dp/Foo NOx incorrectly entered originally  [6GE091]  5. Issue 15: Dp/Foo NOx corrected from 83.2 to 82.0 and % of standards recalculated as well  6. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  7. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
9GE120,GE90-76B ,PEC,GE,General Electric Peebles Test Operation,Site 6A,30-Nov-07,8-Dec-07,TF,8.6,35.45,354.32,-,6.80,34.7,1565,57.4,21338,2.04,Jet A1,,98.41 - 98.66,1. GE Aviation Report R2007AE851  2. Engine serial number 900-505/1  3. Turbomachinery incorporating 2D aero  4. Performance Enhanced Combustor (PEC)
