UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
4BR002,BR700-715A1-30,,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",7-May-98,8-May-98,MTF,4.66,28.98,84.16,-,0.6 ,3.1 ,34 ,40.1 ,4002 ,4.2,AVTUR,1.89,101.3-101.9,Data from Certification Report E-TR484/98 (FR) ISS00
4BR005,BR700-715A1-30,Improved fuel injector,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",29-Jun-99,,MTF,4.68,28.75,83.23,-,0.5 ,2.5 ,25 ,50.1 ,3340 ,5.6,AVTUR,1.93,100.9-101.3,1. Data from certification report E-TR346/99 (FR) ISS00.  2. Incorporating improved fuel injector.
4BR003,BR700-715B1-30,,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",7-May-98,8-May-98,MTF,4.60,30.47,89.68,-,0.5 ,2.3 ,27 ,36.9 ,4583 ,4.6,AVTUR,1.89,101.3-101.9,Data from Certification Report E-TR484/98 (FR) ISS00
4BR006,BR700-715B1-30,Improved fuel injector,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",29-Jun-99,,MTF,4.60,30.58,89.68,-,0.4 ,1.8 ,20 ,45.2 ,3958 ,5.9,AVTUR,1.93,100.9-101.3,1. Data from certification report E-TR346/99 (FR) ISS00.  2. Incorporating improved fuel injector.
4BR004,BR700-715C1-30,,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",7-May-98,8-May-98,MTF,4.55,32.01,95.33,-,0.4 ,1.8 ,22 ,34.1 ,5314 ,5.1,AVTUR,1.89,101.3-101.9,Data from Certification Report E-TR484/98 (FR) ISS00
4BR007,BR700-715C1-30,Improved fuel injector,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",29-Jun-99,,MTF,4.54,32.15,95.33,-,0.3 ,1.4 ,18 ,41.8 ,4588 ,6.3,AVTUR,1.93,100.9-101.3,1. Data from certification report E-TR346/99 (FR) ISS00.  2. Incorporating improved fuel injector.
11BR011,BR-700-725A1-12,Z-ring,Rolls-Royce,Rolls-Royce,Dahlewitz,6-Aug-08,6-Aug-08,MTF,4.35,26.16,75.7,-,8.1 ,41.3 ,398 ,95.7 ,2565 ,5.8,Def. Stan. 91-92,1.94,100.5 - 101,"1. Data from Certification Report O-TR0053/12-ISS02.  2. Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)"
1CM001,CFM56-2A series,,CFMI,CFM56 Evaluation Engineering,Peebles Site IVD,11-Nov-83,14-Nov-83,TF,6,25.2,106.76,-,3.5 ,17.8 ,242 ,59.5 ,4571 ,10.2,Jet A,1.93,95.98-97.49,1. Ref GE Report R83AEB631.  2. Engine S/N 692441.  3. Applicable to CFM56-2A2 and -2A3.
1CM002,CFM56-2B-1,,CFMI,CFM56 Evaluation Engineering,Peebles Site IVD,11-Nov-83,14-Nov-83,TF,6,23.5,97.86,-,6.0 ,30.4 ,378 ,82.5 ,3906 ,7.7,Jet A,1.93,95.98-97.49,1. Ref GE Report R83AEB631.  2. Engine S/N 692441.
1CM003,CFM56-2-C5,,CFMI,CFM56 Evaluation Engineering,Peebles Site IVD,11-Nov-83,14-Nov-83,TF,6,23.5,97.86,-,6.0 ,30.4 ,378 ,82.5 ,3906 ,7.7,Jet A,1.93,95.98-97.49,1. Ref GE Report R83AEB631.  2. Engine S/N 692441.
